distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,9580,1240,3860,700,NA,9420,1100,1040,620,760,860,520,280,320,2220,840
0,1940,960,420,5860,2080,2360,844,500,500,460,494,1380,NA,460,320,600
0,1540,1680,420,2220,960,3480,840,2320,720,400,1900,540,300,960,2780,980
0,980,680,740,500,500,1060,1540,1140,900,1260,1260,740,300,418,7159,1618
0,11880,620,860,480,860,1300,1420,780,1080,460,600,500,NA,460,620,1060
0,1860,1560,900,1220,1240,780,800,560,1442,480,640,660,260,620,320,580
0,1080,3780,1220,940,1800,1020,1020,380,1820,500,840,1080,780,420,462,960
0,680,1060,460,980,1160,3356,1420,460,1097,820,980,520,1200,780,340,900
0,520,760,360,580,1240,1420,1040,400,880,380,520,620,NA,1600,340,460
0,1780,680,740,560,1060,700,1520,1260,1340,440,540,500,380,420,540,480
0,1955,800,540,400,1440,820,1060,500,1300,360,560,NA,340,460,440,780
0,1520,680,420,440,700,1440,1460,500,1420,420,NA,620,NA,NA,820,1320
0,720,880,620,400,660,760,1920,420,880,360,480,NA,820,360,700,540
0,480,920,420,416,880,780,1240,340,1260,900,720,480,640,460,360,580
0,620,3257,360,320,3760,640,1320,480,940,640,900,940,320,800,520,580
0,1780,740,320,380,1260,660,1300,400,760,580,680,640,1880,680,380,700
0,680,800,420,380,780,920,1199,440,820,420,640,600,NA,500,380,1220
0,620,680,560,380,5800,1020,1380,560,540,280,460,480,400,520,380,960
0,560,840,520,340,840,1000,3720,780,880,380,1900,NA,NA,660,640,1240
0,620,1620,700,540,920,1320,1960,420,860,720,940,460,660,1340,500,440
0,680,760,820,560,700,5420,1580,420,820,800,320,860,2060,480,420,520
0,580,720,600,520,980,1380,NA,460,700,360,580,440,NA,580,680,NA
0,580,820,660,500,740,2360,NA,400,780,440,760,640,NA,1220,2800,1220
0,400,820,1600,440,1100,1380,2280,500,2200,320,820,560,340,480,780,480
0,592,1580,860,1480,640,760,2200,360,1400,600,700,NA,1120,880,520,420
0,520,682,340,1160,780,820,2200,480,920,500,660,760,2180,1000,900,480
0,680,600,380,400,540,3160,3160,380,1640,620,1160,580,400,500,700,780
0,460,920,360,400,780,2520,1480,340,1140,480,600,620,640,360,1540,560
0,1060,640,780,360,560,860,1360,400,860,1920,480,680,400,400,820,1060
0,700,780,520,420,880,1880,1900,680,900,440,1040,500,960,460,2220,2775
0,520,520,560,560,1300,1380,4720,482,740,300,736,540,2080,460,320,480
0,740,660,640,520,1040,860,1420,460,840,500,1080,440,2120,520,360,797
30,780,540,940,1320,5840,760,1920,720,1240,420,1120,920,620,560,860,700
30,1500,760,1300,800,2180,2580,1620,1240,1037,3060,2659,660,280,620,1860,1418
30,2196,1840,1160,NA,1400,1240,3140,NA,1720,700,2357,700,400,840,1440,920
30,660,4200,NA,1080,1460,4840,1680,1100,1400,780,560,900,NA,1140,NA,680
30,1380,1740,1340,740,1539,3700,2520,820,4880,1501,600,620,820,880,420,860
30,720,1500,800,1076,460,760,2700,860,1400,920,NA,700,2880,600,NA,NA
30,1640,2000,880,2000,1180,840,1740,640,NA,NA,520,1140,240,720,1400,700
30,540,1760,700,NA,920,640,1640,460,3640,NA,920,1640,600,580,NA,NA
30,2020,4120,1100,NA,4205,1000,NA,760,2700,NA,1240,1020,720,NA,520,1160
30,820,1696,740,640,1435,940,NA,380,1240,NA,560,1280,2000,640,1380,NA
30,580,880,860,1140,3320,900,3340,480,1200,NA,1442,720,2060,NA,560,NA
30,760,1320,800,1660,1076,664,2140,840,920,640,NA,2040,980,640,640,1020
30,1120,1080,1240,680,4057,894,NA,660,1620,420,4420,880,NA,920,560,520
30,300,2540,760,600,NA,820,1140,920,1460,NA,1820,700,1920,379,NA,560
30,1840,1240,1040,600,980,600,1800,1120,2340,NA,NA,1420,520,500,NA,640
30,2000,880,660,780,2924,3159,1100,560,2040,NA,NA,1280,800,420,680,1220
30,1780,860,720,2240,1920,958,1036,720,3640,NA,540,879,560,600,560,720
30,720,1920,1040,1780,1260,1220,1160,680,3500,NA,1840,1040,820,560,600,700
30,1080,3520,900,1740,2340,2020,1380,2180,3160,660,1940,1200,740,440,640,1160
30,740,1780,1296,1780,NA,1960,1435,480,2500,560,900,1140,1300,NA,1280,1200
30,680,2120,1700,1060,840,1720,1180,520,1640,540,880,1040,372,NA,NA,880
30,1620,2840,1500,900,720,1740,1340,880,2800,NA,900,980,620,440,640,1220
30,1480,2620,1260,1880,2700,14820,1120,620,2060,400,960,1340,980,NA,NA,940
30,1740,2320,1060,1000,700,3360,880,600,2240,NA,1160,840,1300,520,460,858
30,720,960,1300,600,1157,2320,840,2200,3158,440,940,1940,560,NA,NA,1098
30,420,1539,1120,900,3900,2320,940,580,2420,580,940,940,340,NA,1400,860
30,1380,820,1320,519,740,1560,1000,540,3700,940,1200,860,380,420,NA,1240
30,880,1100,1000,480,1200,1860,1140,640,2020,980,680,1060,720,NA,NA,2360
30,520,800,1700,2152,900,2400,1060,1100,5540,440,3040,800,NA,500,1080,920
30,1840,2140,1080,2742,1020,2020,1435,718,1380,880,1220,1276,800,380,680,860
30,780,2020,1240,1260,1020,1920,1640,633,1200,460,1980,620,NA,NA,1060,620
30,1560,940,1220,1040,1120,2100,1120,1200,1800,NA,860,1040,360,1220,960,1360
30,680,960,1800,2100,920,18140,1400,840,1680,500,520,820,700,480,540,700
30,560,860,1920,960,880,1660,1300,820,5280,380,720,980,680,540,860,2540
30,520,960,1980,1700,959,16860,NA,1372,1160,NA,1000,980,760,940,500,640
30,1415,540,1920,820,2044,960,2040,780,1039,940,860,980,979,420,580,500
30,520,700,1200,540,640,1560,1340,738,1120,440,820,960,660,460,NA,980
30,1680,820,1720,740,740,1520,1880,700,1320,700,1140,1040,640,780,NA,1480
30,1640,2078,1578,NA,660,2260,3580,600,1140,620,NA,1260,920,1138,780,600
30,1140,1060,1220,1000,780,1740,2340,660,1240,560,1340,1118,NA,940,NA,620
30,1060,640,1400,1360,1780,1940,2480,1160,1080,640,NA,980,740,600,560,1160
30,960,580,1320,760,1500,1600,NA,1460,1395,780,NA,1260,800,540,500,1100
30,1080,2140,1260,540,2500,1180,2199,780,1020,NA,800,920,1100,880,580,2480
30,1160,1100,2200,1200,880,1220,NA,1108,940,540,NA,1000,1320,960,1195,800
