distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
0,105,55,75,115,95,65,85,115,105,55,75,115,95,65,85,115,105,55,75,115,95,65,85,115,105,55,75,115,95,65,85,115
0,75,115,65,95,85,125,55,95,75,115,65,95,85,125,55,95,75,115,65,95,85,125,55,95,75,115,65,95,85,125,55,95
0,115,85,95,55,125,75,105,55,115,85,95,55,125,75,105,55,115,85,95,55,125,75,105,55,115,85,95,55,125,75,105,55
0,65,105,115,75,55,95,125,75,65,105,115,75,55,95,125,75,65,105,115,75,55,95,125,75,65,105,115,75,55,95,125,75
0,55,75,105,105,65,85,95,105,55,75,105,105,65,85,95,105,55,75,105,105,65,85,95,105,55,75,105,105,65,85,95,105
0,125,65,125,85,115,55,115,85,125,65,125,85,115,55,115,85,125,65,125,85,115,55,115,85,125,65,125,85,115,55,115,85
0,85,95,85,125,75,105,75,125,85,95,85,125,75,105,75,125,85,95,85,125,75,105,75,125,85,95,85,125,75,105,75,125
0,95,125,55,65,105,115,65,65,95,125,55,65,105,115,65,65,95,125,55,65,105,115,65,65,95,125,55,65,105,115,65,65
0,75,105,75,55,85,95,85,55,75,105,75,55,85,95,85,55,75,105,75,55,85,95,85,55,75,105,75,55,85,95,85,55
0,65,115,95,115,55,125,105,115,65,115,95,115,55,125,105,115,65,115,95,115,55,125,105,115,65,115,95,115,55,125,105,115
0,105,85,65,75,95,75,55,75,105,85,65,75,95,75,55,75,105,85,65,75,95,75,55,75,105,85,65,75,95,75,55,75
0,115,55,115,95,125,65,125,95,115,55,115,95,125,65,125,95,115,55,115,95,125,65,125,95,115,55,115,95,125,65,125,95
0,95,75,125,85,105,85,115,85,95,75,125,85,105,85,115,85,95,75,125,85,105,85,115,85,95,75,125,85,105,85,115,85
0,125,95,55,65,115,105,65,65,125,95,55,65,115,105,65,65,125,95,55,65,115,105,65,65,125,95,55,65,115,105,65,65
