distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
0,3097,417,1937,697,NA,15776,697,NA,440,459,820,4860,340,NA,500,1360,500,580,460,400,240,5240,4500,1680,620,640,460,5440,1660,1573,300,460
0,477,317,537,875,455,1936,697,1200,520,780,480,1500,540,1240,580,600,480,3200,740,280,560,2280,560,1300,NA,600,940,560,340,2360,320,3480
0,357,517,2417,456,2896,2260,616,6860,460,780,580,460,680,500,1020,3556,7160,360,400,240,560,1240,1120,640,520,520,2700,1800,360,520,480,620
0,317,436,837,596,5136,5375,677,4040,420,2639,1140,720,840,440,580,500,3780,480,400,220,980,1260,580,720,440,580,700,500,360,380,360,760
0,1636,377,1317,757,596,12916,976,1960,440,779,1280,5780,360,680,760,1020,460,660,540,300,580,2900,600,3520,1320,520,1020,1420,540,520,840,580
0,456,417,597,557,956,1716,717,1380,340,699,980,440,300,440,600,660,640,300,360,260,260,820,600,1360,1400,420,11340,440,240,420,460,5160
0,615,337,2216,636,1836,8616,617,NA,500,2759,1060,6140,340,520,980,1060,500,500,2954,240,480,1300,620,660,480,660,420,680,300,880,340,9680
0,415,397,397,437,3756,1616,597,1500,2560,1840,1380,14420,320,440,437,660,480,500,400,260,240,1980,580,460,2780,560,520,940,400,740,580,560
0,418,457,497,576,1376,1296,696,2960,3280,940,1420,20780,360,960,580,680,460,440,360,240,240,860,520,820,540,560,460,500,360,560,360,560
0,496,297,616,676,796,1196,597,1300,3700,4720,560,12460,440,660,760,700,360,420,480,280,1420,980,600,1460,620,600,420,940,600,540,460,2460
0,356,516,457,697,1155,3916,577,1460,440,3222,540,14340,420,440,840,1220,440,360,560,200,520,900,460,800,600,680,360,380,500,540,500,920
0,736,397,917,415,1196,1336,477,1440,540,1240,1700,860,540,560,780,760,340,420,480,280,520,860,560,892,620,460,500,520,720,860,480,720
0,376,497,677,536,2095,1400,477,1340,420,1960,1820,400,480,520,1040,580,960,280,1180,280,580,1680,680,1360,700,680,760,2420,340,920,360,840
0,916,996,577,396,1376,1235,596,1100,440,760,540,360,480,460,780,560,440,700,1540,980,340,1800,580,640,1120,480,520,2040,400,1140,400,640
0,436,397,4057,756,855,3956,535,900,1640,880,1000,480,460,420,1020,540,640,620,400,320,300,1860,600,880,1080,540,680,1440,416,700,820,660
0,416,357,1437,1016,676,1076,577,1440,2480,1460,700,1140,820,1180,840,1000,540,800,440,320,420,1220,595,840,780,580,500,740,1500,880,860,1120
0,376,357,537,635,516,1876,616,2540,5880,1640,660,780,360,1040,820,520,1240,300,760,320,300,1120,820,1040,1460,560,1020,320,1120,680,1300,2280
0,395,357,497,756,736,1156,475,1920,1080,1800,660,560,400,1080,700,520,340,300,1720,300,360,2640,840,2820,900,360,400,340,360,580,740,740
0,356,297,657,516,656,1296,457,1420,440,1320,800,460,800,840,1760,480,540,340,400,280,300,1200,675,1500,520,320,540,400,640,600,880,1160
