distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
0,NA,-5.539762055,14.51799302,18.28443589,NA,NA,2.758336473,NA,-8.712677785,-6.97420122,NA,NA,NA,-13.30449515,12.45819393,NA,3.131530079,-2.340010421,-11.05883456,15.44546723,0.457062203,NA,NA,NA,3.704402797,10.60239397,-8.162464297,1.50530811,NA,NA,12.31081552,10.68792789
0,-6.228587302,8.92304139,-3.340177073,2.187508797,4.249391417,NA,-4.594678638,NA,-12.99437306,17.09397486,-5.780636083,7.63061077,8.872288057,3.557094751,9.996430793,4.696258862,3.103155766,0.953958398,NA,NA,-0.098378157,2.066686779,2.845148111,-0.217826067,-4.337665989,-1.977614058,3.135336571,-1.896320647,NA,12.70184294,-8.232695159,-1.603371303
0,19.77516303,-0.772299859,7.483778119,-10.77443778,-0.939387907,NA,1.203035429,0.710524377,-13.32797575,-2.264728721,8.262481645,-1.895765093,8.747127716,0.534835297,11.41488249,NA,6.135710606,2.633131487,12.5550171,3.562681718,2.819091932,2.55628342,-5.371198888,-0.819891324,-4.52262455,3.306295354,-13.09334182,1.8093772,-0.037798507,-11.82263599,12.24936602,7.597613236
0,-1.206854557,9.772341202,3.737770331,-6.919935376,-2.630866557,15.50528322,5.820408426,0.879136106,-15.98875392,-3.886632648,-2.909433216,1.905399463,5.211321522,5.590404892,6.964115817,2.886954231,5.457162456,5.098731154,8.094533951,12.16948261,3.325304548,7.11361481,-2.832281174,-14.70112238,-6.329670763,3.075172608,4.497448028,-0.471737865,3.941505615,-3.485570546,-2.414845451,0.132296324
0,17.67853012,-5.10624998,6.927686315,4.530150271,1.623559189,NA,-1.52211577,-1.528519077,-12.34145311,-14.72729084,5.442758803,-5.727116488,7.041267478,-1.844927917,4.843711108,-2.695662245,1.53843213,2.717713109,-0.319153082,1.783229256,5.262212376,0.297971,6.60839292,0.774633963,0.484857972,2.167358057,-3.552465849,-3.047452999,0.180189385,-2.432049987,-0.259188995,9.323998781
0,8.087005164,-3.716254967,-0.018886533,-5.397320411,2.384413375,-12.50094913,0.985751598,2.938531216,-8.569921902,-1.050901575,2.637205923,2.556566525,12.26656139,9.380405629,7.086518178,-0.304088345,0.501432492,7.157641711,6.133958214,2.158448121,-2.685012541,-3.583330693,-4.688807938,-22.09785695,-3.129405999,3.25198447,1.613355302,-0.233204198,-3.740197138,2.456412178,-1.401692762,-1.164035365
0,-1.183061419,-1.466130368,5.60289364,5.35511751,0.937259228,NA,-1.080618679,-5.293142814,-13.18825465,5.563752954,4.568843066,7.219064986,7.989018731,3.140856364,10.70625444,-2.9949397,-3.055769153,-0.748431012,1.134633154,-7.123786627,2.502087987,4.722177185,-0.141612217,-4.509766836,-3.319427786,5.444343671,-0.90069723,-2.338012013,7.096904006,6.47794008,-2.368888115,-12.76281387
0,-7.650878342,NA,-5.265876708,-4.416204902,3.77803794,11.73768972,-0.406028329,-6.869442285,1.409741912,NA,10.92373167,13.20706457,-1.40336508,-5.33153416,7.86939218,7.25448924,-0.543129033,-2.593150276,-6.788130109,3.990706988,-0.406351643,13.747791,-2.004715446,2.297303687,-2.180317229,4.762601955,-1.248780376,-4.434994876,7.055456577,6.297814425,4.491788901,-13.60005825
0,0.857631386,13.78545349,6.911377108,-10.6825684,4.197170271,-3.680370648,4.254957472,-5.834400494,4.156258076,NA,-15.58913868,NA,10.98840686,2.705706423,6.354168129,5.005142043,-1.00015482,7.696183572,4.897864461,10.08415258,2.350443949,-0.499442014,2.440200616,-4.858049193,5.449525502,3.936545462,0.802907047,2.603656586,7.104652447,5.706911032,1.714614451,-22.27777871
0,14.38345073,9.804145457,4.651763105,10.68842228,9.352459861,1.831057331,-3.613613347,1.340889223,9.198931115,0.577502693,1.202742866,-6.058450953,3.626745615,-9.795677123,0.976438678,2.543237399,-0.682574273,7.369336835,3.2586836,-3.553555174,-2.187795294,-1.449222605,-5.807283207,-15.58480259,2.684539525,0.727195821,-1.818959304,-1.642417139,2.296497834,15.59137549,3.584177829,5.002857001
