distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
NA,-0.07344832,NA,NA,NA,-24.78193125,NA,-19.24014837,5.21350582,NA,NA,NA,NA,NA,NA,-21.22870384,NA,-7.418190623,-16.48306194,NA,24.02135486,4.37928628,NA,-20.37432643,NA,NA,NA,NA,NA,NA,-9.416547392,NA,NA
NA,-6.109542319,17.49777568,-13.64290134,NA,14.13753123,13.63561164,12.37010192,8.990337704,NA,1.7914396,-8.860737588,-6.820993657,NA,23.41907489,-4.273767723,-4.407570864,-8.264271951,-17.23885305,-12.3297614,NA,-2.365501573,17.15725141,-24.8482518,10.65447999,-9.304281887,28.3652059,12.3345335,-10.52132652,-8.521240708,NA,-17.26116465,10.46948058
NA,11.97076943,NA,-22.30183156,NA,32.46281003,-10.6793912,-28.30012822,4.74507428,2.85031268,-17.0603671,2.494902345,-15.29874179,NA,-17.21771598,-7.568671507,-11.35892537,20.84261156,-18.76354913,-8.16916687,NA,20.13621496,-5.565921804,18.15995055,-3.175815645,18.67779322,-8.967020186,2.937945187,-3.15343468,-14.19783532,-12.73685052,4.135260133,-13.35974858
NA,3.738148974,NA,-20.02046894,-18.56938985,-18.48363998,-3.770064462,NA,14.28361549,-7.7331928,4.036785867,11.57228931,-12.07955685,NA,-1.674601667,-17.30716014,12.98208763,-7.82938346,-0.100576377,5.014707194,NA,-3.707359144,10.49458227,18.71824378,6.794430432,-5.692806079,26.18609991,30.68199287,-6.972576953,-10.55519499,NA,14.91214919,16.83597419
NA,-9.761041294,NA,-22.37628036,9.213265424,4.179815291,-21.21540135,NA,19.58175961,27.6352032,-37.23606126,-3.406801958,-3.872957842,-25.98704064,-3.967710069,-17.48213539,16.3946945,-0.530993685,-0.6850815,7.272613673,NA,-5.389403403,-6.413712719,-6.374623318,3.471126076,-6.842855002,-6.402972713,16.75766165,-2.483240912,-9.75837203,-11.38904627,6.411988016,25.52277414
NA,5.838104969,NA,-19.50445613,-21.7793517,-0.471148051,-3.648838206,NA,12.90743198,0.085488477,-57.20109464,22.06735418,15.91277502,-42.65970183,5.788582917,0.634237937,-3.076952302,10.47674293,-6.729644503,12.75679672,NA,NA,-12.17735401,-5.234196736,11.1205839,NA,-6.950974681,2.510694281,-10.90998726,13.90926682,-10.77104264,20.53172687,-3.064789051
NA,-5.76893815,NA,-15.7802617,16.51612108,-15.1037033,-12.05898299,-23.24584292,21.3788303,6.711953581,-0.562090303,-19.6293582,0.386743555,NA,17.74805705,-8.699533354,24.74549574,6.616164188,0.887103135,-5.248957478,24.09102388,2.986457406,15.67855682,-21.34912022,3.577391605,6.884786505,-9.763307618,23.25092021,7.566581017,-24.85255122,NA,-22.89065524,10.46157434
NA,10.05902914,13.01337048,-16.22464943,NA,18.00884797,13.83688947,4.381955695,11.00733168,18.02010803,-24.25399801,6.941695589,-11.72956234,-15.93894803,13.63791203,-4.911053628,-20.18431253,-1.597045206,13.07329895,-9.518583743,45.74992121,22.83336339,18.3701702,31.31790985,22.30861826,NA,18.34373545,15.99419636,-1.297867931,22.19431964,NA,-17.38917305,-4.37267398
NA,3.8352198,NA,-25.35519323,NA,1.859951442,-7.776173686,-20.97224164,2.227896516,20.36025545,-13.60699972,3.348197786,12.04200663,-26.33996896,7.000367159,-4.490470264,4.057324487,1.101473998,-0.766856733,-7.210078393,21.76650006,12.46873781,15.33439286,-4.667539279,14.65239408,7.85743152,9.443590683,28.28622281,-6.099797588,-10.92300015,NA,-8.426799444,-7.767280903
NA,-6.360750176,NA,-12.00907942,17.52929824,2.747866373,-1.534528538,-27.54125153,10.47748961,44.73071145,6.308974323,27.95800664,-33.80265406,-18.44489975,17.05376143,4.425909142,18.70359957,13.0032836,19.55579345,-0.05178709,-2.051926195,9.178332434,21.46742393,17.8355028,14.14465299,-10.15819351,11.15921309,23.52057047,11.54339022,-16.67016607,NA,23.03367865,-5.971315987
