distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
0,-14.63128617,-0.975150154,-3.245006935,-4.183821319,4.341117969,1.108664632,-10.18476722,-4.157281237,-8.546785439,0.097556562,-8.765599447,0.327345825,-1.953344608,3.092401931,-0.238244661,-2.670742118,12.90177557,-0.647640149,-5.891985906,-6.082115798,7.959131435,0.803827685,2.190503776,NA,-17.39407894,NA,-0.591901581,2.054627618,-6.253090861,0.110902888,1.183658091,-5.324377851
0,-18.82959871,21.21833094,3.817675104,0.647966178,-12.17979095,-4.984723825,NA,-2.275665404,-1.241899592,-1.349693998,1.37752946,NA,6.190160434,2.120960961,5.83247234,-7.532528972,1.199975717,1.636673334,-9.002050283,-7.269749495,-3.915231495,4.269348768,9.696050839,-25.4942734,18.40744962,-12.0485489,2.361802283,-0.907218106,-8.24374724,2.462649534,1.384133555,-0.980620251
0,-6.020677386,6.719202051,NA,7.378180205,-2.148780812,4.954594069,17.05323347,3.549515977,-6.465772986,5.72584158,4.453907271,-16.32547409,-0.743861881,NA,0.401284077,-6.026746978,12.63794986,-7.390456644,NA,8.051842804,6.746066454,11.25089607,-12.99969517,NA,0.721056714,8.142989368,-3.946158347,0.646357369,2.779747849,6.23833396,19.27056087,-5.102456564
0,-11.0794493,11.28981146,NA,6.442006059,3.602295171,4.082518914,NA,-3.234365381,-16.90222206,0.770475985,-5.228112463,0.912979004,-1.306664336,-8.751795195,-4.007838395,-12.29016344,4.462673495,-5.374068168,-8.781292791,-7.952825338,6.237055922,6.357529762,-2.2421537,3.541683985,-2.295182303,7.055256147,-0.160382132,-1.230646784,-0.119201969,-0.346775228,-1.900509725,2.467003011
0,-11.98720346,-5.178732256,NA,-6.620425217,-5.354063834,-2.086372307,-1.875369358,5.245611477,-2.233168157,0.388386885,-12.30756222,2.061518265,NA,-6.999800253,0.975722025,2.18306925,4.387644926,1.552570825,4.148588415,-9.707667899,-3.474685731,10.53392989,19.25974421,3.421272007,-6.391347145,-1.484852213,6.1985997,0.89640276,-3.747422436,4.531845687,3.117037815,11.90229363
0,-1.948886668,-3.500210764,NA,-6.090518244,5.127605977,32.36032567,18.14895775,-5.561297773,-0.306017808,-5.426988938,-1.191453702,-5.838578915,6.912351613,NA,-1.462451956,-6.617446361,6.884185471,1.148262908,4.255283234,8.614794623,-4.917114746,13.47363036,8.006900973,6.574811711,-27.34958247,-1.682163643,-2.263196361,3.794483912,2.095214373,0.776980437,20.39130926,-0.482533222
0,-13.00469534,-3.002073511,0.82339613,-3.450128134,3.954491644,14.85208521,-0.13368727,1.545848043,13.42923353,0.493499645,-8.728228115,6.885011806,-2.979758883,-7.173320657,6.548492257,-0.347759907,11.64648682,-3.414075868,6.954533714,-1.787780974,-0.780706064,7.33712045,NA,-0.31563402,-4.587403939,0.100076018,9.12585112,0.036483113,-5.964711155,-3.739620819,-5.488286533,0.472105858
0,-0.693776276,NA,-1.311651628,-8.15375508,-0.288755357,3.676033883,-15.55782674,-7.031629693,-9.94534054,-0.00282493,-17.04895092,3.480883895,1.589334309,-6.120820184,-2.551689651,-5.97697454,16.05715415,-6.498808123,-12.05982975,14.63953151,1.273761858,-1.019311448,NA,6.23192472,-5.425914911,4.377669761,-1.562058927,-2.883578334,2.407271022,1.33795793,4.044636861,6.938495382
0,-10.98775355,9.542248558,-2.855608968,-8.346933016,-1.41058955,5.273012435,2.981736689,1.123112487,-11.73153033,1.961052611,-20.13703697,-6.827580769,0.820333212,-8.607109513,-1.145569581,-14.31370215,10.20515054,-4.173164049,-10.79989175,0.138278392,4.429914769,2.320680348,-11.62423448,3.891997044,-6.805773067,-2.899975793,0.032548885,5.012142796,-2.858223706,6.570870473,2.547688177,-5.992197896
0,-0.184912134,11.32597279,-5.2526276,2.583483051,-2.355657154,-17.40854846,NA,4.843304122,-6.892284167,1.136003291,-17.6629861,1.423122662,7.837806292,-4.232326285,2.106604108,1.71730462,2.616308328,-4.923793568,3.801493511,3.619116034,-0.223037323,5.605254282,NA,5.154901537,-3.876606089,2.716592726,7.919806532,-3.874942331,7.842021468,-2.658492771,7.360121476,6.842381834
0,15.34786993,0.226799846,0.332787488,1.884423463,4.128846581,0.578831691,NA,-3.78085143,-0.774505751,-1.862919116,-14.47949962,0.332456745,6.876867457,-2.247454135,-0.277375138,-21.46774978,NA,-2.43725388,-6.476932874,6.374187352,7.017104961,9.765327468,2.60162083,12.34736226,-4.936251757,-6.762709357,-2.88836612,-0.628165055,9.009017458,0.260024917,5.67686335,-6.04709009
0,3.637485973,-6.616467753,NA,3.297014202,-2.962805051,-5.543860165,20.03168476,4.110454365,-4.333566775,5.831283548,3.10909726,1.264432573,-4.967368805,-1.628580078,-1.688730243,NA,-4.60201552,-0.298172275,14.68166624,5.347862617,-1.252256474,2.019114922,13.2776893,0.460850559,-4.25684724,2.606410229,-11.55865062,4.322223731,3.679556064,3.371779697,9.409258398,-9.779386382
0,-1.251084995,-5.558383377,-7.288609005,-5.464228788,-2.373870944,-7.376358613,23.14814556,-7.289295345,5.395763037,6.311799611,-6.225777898,9.124659355,2.777856268,-8.225601525,0.791819211,NA,-11.25524467,-0.652396749,-4.524271302,7.865896782,-7.628296427,8.870146332,11.05428648,10.58580951,1.900056686,-1.147618324,-8.960602951,-4.850460251,2.649531391,-0.180384442,1.325269184,-4.729316046
0,11.21061944,1.527226763,-0.666389016,-1.334670686,7.938216671,-2.135652748,NA,-4.037931682,3.563099596,-3.780643423,0.517236159,11.39191206,4.707510988,-10.17373728,0.535062673,-14.61537309,2.300585244,1.717642822,-5.850941756,7.207829034,2.199739244,0.346738184,-5.80835322,0.954853068,-2.723087536,0.989569518,-8.843071843,-0.433207,8.144411259,1.10039839,18.65499716,7.349305605
