distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
0,4.001089475,13.37254909,-1.39514658,-6.78491686,2.601730715,-5.266431073,-9.63074403,1.44456493,-6.625558654,-9.540572042,-21.23263331,-17.8539732,-0.314843897,-26.02749676,-11.49316736,5.371050218,NA,-7.695110052,10.42760017,2.502195199,-11.93628072,-6.423852599,4.721158496,-2.722935158,-13.62732529,-1.16560986,8.656974479,1.155962755,-9.94518222,-0.229926838,5.874052207,-0.993732671
0,13.09649872,1.329058574,4.127937898,6.02644979,-8.198430285,8.312382475,-8.694861618,5.985730956,2.550982482,-2.503603556,-1.7804691,8.134026074,6.754237356,3.988615087,0.28760827,11.41085426,2.18667565,6.215096636,-4.052296949,10.01924551,3.229054586,4.927061845,5.524496516,5.869385799,3.568073818,-7.072260363,-0.344972702,3.771855253,-7.199475211,-0.742801676,-0.221188642,10.96918807
0,8.173352164,0.452208094,3.365432534,10.16326245,4.35185824,0.206676364,10.21406281,-2.858030108,12.4832387,-4.860956681,-0.814859152,10.29095129,3.961579162,1.33447953,14.17347748,1.738853224,-14.87336954,-0.5828446,-3.399417799,4.358093741,-5.824585115,8.158413541,-4.794030995,5.233092291,-0.869583669,7.866577892,8.091656646,-10.10031029,-6.629191365,-2.455268273,8.298420181,0.478805051
0,22.73657444,7.761788025,7.176272392,6.416525401,-0.018661532,-4.100544136,4.135355314,11.53447122,2.833119729,-0.492079067,6.991534236,3.010818413,-9.981865653,15.28553977,-2.09823579,8.251280323,14.34525107,4.272553532,0.740312744,9.549054097,2.58938219,9.522731996,-0.220482099,2.754300329,17.06192966,1.549068001,-3.571731383,-1.008900663,-1.386406434,6.689994928,-8.390072534,11.78527374
0,7.178460266,12.80469732,3.822378875,2.254467994,-2.091296291,0.657490249,0.305831987,8.384130665,0.730037261,-6.325876175,-4.053859811,4.64074544,-1.509614665,0.227307626,-6.332951573,15.62457132,-0.024750567,-6.454115787,4.29905002,9.234720937,-12.75334969,1.919070475,6.493146447,-6.248074716,-12.50257961,13.43514128,0.162684996,2.320839334,2.127515175,-2.196341954,4.144614679,0.149716238
0,3.352910657,1.194260236,7.846446666,5.200637471,-2.14614307,0.589301338,14.00647754,-0.474958822,-9.180340819,3.497784167,4.694204271,-1.661822108,-0.085603697,-1.233044069,13.0670375,-14.37898459,-1.27451287,0.18208063,1.416372422,7.928189056,-15.8775957,6.814122202,-5.244034444,8.839310534,-0.001094459,6.30172806,7.200656258,-16.31089116,3.60212652,6.076631081,-3.348705413,1.444623419
0,12.51166696,-2.063270173,3.285199035,-1.446102748,2.196563856,-5.734088711,-6.082282284,7.527097436,-0.733866362,-0.06682576,-4.851077161,-1.573485544,-8.422572158,-0.189470454,1.405819258,13.10090916,3.868193187,-1.126767694,-1.296631597,6.321880627,5.188991011,2.273939386,1.781605234,1.632388964,20.88626029,-7.036337122,3.279331364,15.8508512,-2.780838493,7.184306684,-9.189842174,9.40158597
0,16.29079093,-1.243933973,4.629813671,5.325979046,8.849959102,3.192149153,-8.371053481,3.066350221,2.378386267,1.483380523,6.067781769,4.761185519,12.50444984,2.77526459,2.698326494,0.15059242,-4.011908849,1.425599828,-2.792157931,7.605888607,12.52062307,-3.842686384,-9.183762662,1.842211815,6.55644176,-6.149275667,6.92356568,2.226957092,3.880242649,-1.239306998,6.961768493,7.514406822
0,20.38503707,1.915538012,5.852898181,6.085481329,4.37371997,-10.76725483,2.054936017,-0.981682118,4.040482774,0.214432761,2.924493052,-0.875634242,4.694152557,3.034076082,1.757569737,8.58524552,2.333671356,4.447215692,0.506050357,-0.709411117,-9.516500621,-0.272279711,-0.738849488,-4.596431877,-7.176957197,-5.560740839,0.232706886,-1.417366459,5.124367647,-5.515625209,2.553650874,-6.054001794
0,-0.205750921,8.142150914,11.87887983,-5.724360188,-11.8451479,1.455184939,1.33265888,5.527294785,4.755068714,3.370061061,2.82021755,-1.517182795,-1.7606991,2.659574662,6.071058727,10.20959205,2.172699475,2.230171916,0.140519027,7.989964778,4.965394103,-1.889574068,6.333829022,-6.688863712,9.965974917,-0.064376098,6.295770768,9.8231111,10.01344326,6.283692421,-1.744774905,12.43651874
0,14.69194383,6.14783313,-2.327935725,10.82637498,9.566086304,-0.063686105,-2.76087951,-7.557788649,-0.009143204,5.021942063,5.228530244,-4.689755765,2.977428614,-6.891962886,-4.775002647,8.496574695,0.39520868,5.317470995,3.563416942,-8.649616565,2.959976612,-7.774159022,-8.294262713,0.70164844,-4.1433641,-5.30599534,12.27040728,-4.255993914,-7.914917612,8.169910584,13.33106269,7.928809523
0,-2.336645922,4.661522969,-0.995497539,6.385973615,4.734722552,4.139333592,8.369349228,10.04144258,-2.849790434,1.307825065,7.861468612,-7.706425088,-0.893109514,2.325841786,-0.679288913,7.190614121,-10.52938824,-4.493451774,7.061243462,9.348016199,-5.267585977,9.641101975,1.941895429,0.925909046,-2.051695693,-4.18459154,17.94309155,5.21432869,-9.718748377,4.370677934,2.477290231,8.004083822
0,20.18278449,-4.793402319,1.281503231,-1.784975025,1.276059733,-8.560074843,2.980791493,-6.580116861,12.07122272,-5.711063799,4.58848187,-0.315304277,0.355631053,4.337150938,-6.496085849,8.369014641,9.410166044,-1.952676136,-3.164369705,6.753296182,4.900060928,-0.136617428,-3.724237511,-2.925667397,5.409632305,-0.690864306,13.469607,-3.730699369,2.625840113,-7.997112441,5.545928379,-2.321876989
0,8.250703719,-3.531894387,3.508538761,4.551943701,10.06871976,-13.23746812,0.810723701,5.671454607,-3.844794502,3.179702932,-0.182729726,1.946750725,2.468632097,17.68769682,1.320842344,9.568363045,7.423255207,5.555031503,-9.506734729,9.341717033,-0.37664811,-0.593410877,-1.576494809,3.524158237,12.89857193,-4.85974703,11.70098122,10.89344104,0.01995604,3.306389714,5.465021936,9.317168177
0,17.47438755,2.763682971,-1.671010161,2.752921987,8.01672329,8.879765844,12.05653596,6.682994968,-2.625079321,5.210429351,6.35642413,-4.678827979,-8.600699759,-3.83498994,7.57105404,12.23948873,7.591608313,0.474326521,-1.551824718,7.804986645,-10.99700339,5.393451177,-0.852128612,-10.38918318,-5.718193529,-9.010874228,-4.516416379,-12.845118,7.417270568,3.204792031,5.520879695,-4.538964818
0,9.425986866,4.051124647,-2.649699052,1.815903234,6.351851087,1.159648432,-4.229492461,4.772151378,0.522001202,-2.248875865,4.176438983,-1.149529396,-3.59239842,9.745470141,11.44407457,-13.50961358,-0.711999313,1.46935394,9.697445099,1.071199554,11.65136671,-5.946766223,-12.4793507,-1.577155905,4.561096013,-0.350565677,1.276743542,0.528336548,-8.73378739,1.092126221,-15.8997466,7.972059191
0,16.16761572,7.552803715,3.454445383,1.137499526,5.504970745,2.081018026,1.863315484,0.445965515,4.441455809,1.191297411,5.715111701,NA,0.278920001,-9.917400895,-0.750048479,1.294475582,2.83959561,3.066926532,2.797110204,-4.674073839,8.027776842,-3.691792155,-1.133565193,2.520642697,-2.711877925,-2.296909749,-0.624005434,1.3588558,0.484979647,6.381284526,14.21574316,6.823663327
0,7.556774809,4.526187001,1.362813693,4.137395305,1.270604961,5.394901875,6.393829987,4.55291462,7.82300183,3.202114173,9.693710147,8.703780163,9.53823754,-7.192518765,4.521976177,4.644791775,7.084129519,-9.391442772,0.09251547,0.447901743,-10.11545497,0.306873622,1.567577301,2.78150769,-11.26631307,-5.380160365,5.142568681,-10.43926812,-8.747473662,10.24863665,5.278100062,-9.64252369
0,9.641803994,-11.36747499,-5.10662216,9.942796331,-2.025451018,-2.036655338,2.847974961,-7.204440912,-3.2877801,1.563935735,6.445284836,3.770563504,-15.57390031,-1.363855305,-6.153874486,3.755465844,-4.647121664,1.996431863,-4.104153111,-1.134048736,-2.536296033,11.08887699,0.781878994,-11.06928063,11.79465365,2.943145744,1.120016017,0.825781056,-11.12507925,-0.169553702,-4.129014316,15.90394943
0,-7.311412719,-3.141161509,1.385575106,-5.988887456,-3.306898599,1.053171244,6.279826757,4.796482404,-1.174471889,-1.982999382,5.200355526,12.45568065,7.223374173,-3.228642201,5.411332064,14.99264128,5.482459565,-10.71431292,1.437260849,3.18182726,-3.015863098,4.102381372,-4.236314093,3.058883403,-7.341533439,-2.669293217,1.470578859,-5.86509115,-1.578767476,3.967255318,10.15200748,2.046366506
0,2.733186533,-2.117398046,0.516601343,-4.324531388,6.675419925,2.370697554,13.31250791,1.385300993,0.486555205,-4.293881925,5.925359686,-1.530483941,-5.711953945,2.524840518,1.683334361,5.368821698,6.71722442,-6.212209029,0.849285864,0.510327301,5.735863601,-2.601276199,4.361755635,4.77381749,7.492812584,-3.127823381,13.21505942,-1.010615388,6.805092207,7.744244928,-0.364811716,-3.6041899
0,3.658921383,-8.961922876,6.436605871,3.228479175,2.161314293,9.621574642,6.021272314,8.794271808,-1.449763179,-0.304424679,6.764851281,1.780059445,-9.12009722,-3.316928093,-5.995279413,9.290954373,-1.570065569,-3.803431052,-9.719252744,-5.156373414,2.813455883,8.335500974,3.028181555,-6.840755016,-7.265818932,-8.375835392,1.904886621,-5.814920476,0.522948131,0.32312521,-4.510159578,-7.916338944
0,2.010729939,2.480794129,2.468641597,-4.936059896,2.342629723,2.556823888,-5.514803283,1.772741224,0.17186008,0.346209952,10.85505822,3.055883895,8.026002495,-10.81015877,-2.809267286,5.300644956,-7.382430588,-0.631662553,-10.26180971,15.04313461,7.23372272,2.244675223,-4.238184231,-4.635594222,10.4600011,-4.500049314,15.5424147,7.941875426,-2.916200058,3.82157805,9.699799286,-4.458765142
0,1.298655845,0.252567636,-4.660655523,-4.40897986,-3.212610429,1.769177206,12.13881057,-1.767041153,3.750226616,-1.781512233,5.190543714,-3.529677665,-1.18642116,0.271490017,4.133453755,-1.931503151,2.511657296,4.477547518,1.625211302,-0.175495837,2.916188986,0.771021357,7.690489671,-6.254592007,14.61311041,-1.431987846,2.878661108,-2.975108821,-4.58421679,4.56271039,-5.757215523,12.73746391
0,3.826304174,1.367924893,-1.010465341,-0.162320464,2.536427817,-6.780373752,-10.18392062,6.912512301,-8.389717131,-4.785638196,4.138005557,0.053963932,-18.95747419,2.60531363,-3.70763237,-7.519844134,-1.521315999,0.96229259,-0.129022051,12.48436878,13.00406924,-4.037271426,-0.721443258,2.633147146,2.199458138,-5.765100304,-1.679941114,8.5106458,2.534583351,4.876505321,-11.31594322,10.79715871
0,2.781832484,15.2364038,3.971731315,2.211601992,4.100014408,-0.040051159,0.813620629,-1.189545599,-2.145266896,5.991501525,0.725166374,2.874315599,1.061208505,6.973261188,7.08759811,0.440585976,0.257072485,5.443051062,-6.277430672,0.126778337,-1.807107059,1.643301392,-2.002386156,-2.04080607,5.090713484,-5.638651077,16.20993325,2.56648929,1.304474895,-7.880858578,-3.979710269,19.55800282
0,5.09819602,2.763067119,-5.19528335,3.543983695,11.05850392,9.004293304,-7.645888344,0.500340754,1.883202645,6.217797545,7.465756557,-5.589314724,9.834906472,3.608093006,-0.910288075,19.74892947,0.995647984,-1.389765718,-0.662040676,5.429783222,-9.241803967,-3.580375077,5.634656137,7.058443637,-4.54500065,-13.77752139,11.9272611,-0.924462905,5.2142448,3.975645359,4.091362176,6.992472751
0,3.521835917,1.191140148,4.990409285,-12.36814994,-2.324074797,3.103403346,12.76389436,1.571545679,6.934897662,-6.93986634,7.457556236,3.427386049,-1.939441647,-1.779271299,14.37695941,9.674943083,3.328077161,-1.820738054,-0.101565689,-1.972884481,0.520113116,2.013115738,-4.651496986,-0.790343725,10.81936062,0.451539254,3.690699096,8.287593966,-0.056809231,-5.479812982,-5.544938536,0.716221841
0,4.769640345,-1.927469166,-5.363174464,-4.949610328,15.89547257,7.886628035,1.200826049,-1.279487809,4.188501107,-6.045596051,1.012049181,4.343679808,2.45728468,-4.522633445,1.133241721,5.729871596,-8.989798832,-7.9577572,-7.388742745,7.731611432,-9.955530108,-1.490352756,5.104945556,3.161611797,-6.257617397,-3.16719055,10.68543026,-11.61692743,10.31410964,1.919285648,9.165802429,1.154807899
0,0.172147578,4.154689407,0.263554658,-9.327380337,-6.644823767,11.75418341,-1.346614942,-9.467407714,13.21321774,-6.307163458,-1.744341288,-4.845566187,4.077338477,-2.218854606,-7.66930938,4.85788483,6.520471284,-1.9359778,-1.017004721,10.55419994,4.431706591,-4.221680474,-2.343515783,2.14386023,5.597686589,-10.51493022,11.05429938,0.704007744,-3.665039634,-2.873945397,7.899303971,3.448605318
0,7.703356882,2.969016427,1.46222826,-2.650610455,-4.425740395,-5.234050884,5.182592273,14.66926174,-6.14670002,3.619788491,0.124040805,5.061428189,-5.426920353,-6.009053948,-2.325539936,9.65636315,-0.440074288,-2.734887349,-2.057305439,0.414544675,-3.751015287,1.951063943,1.717790943,-6.275733628,-16.70137106,-1.346716178,-8.585566981,2.797475099,7.849456456,-4.22448315,2.147782383,11.96448874
0,15.64266454,5.554726712,-4.859340683,2.824310335,-5.240272746,3.024635501,-1.457447687,-4.290739782,-2.749579007,-6.41851968,-1.718441046,-3.910800012,8.939377925,7.905730955,13.47991345,-0.034946546,5.175573536,10.30439608,-0.998573616,-12.12560763,-7.069080098,-4.934481712,2.455146661,5.762304996,9.683961107,-2.87169101,7.128236022,8.640725113,5.172721876,2.733910366,9.347334227,16.90320362
0,-7.703300147,11.85461493,0.178715229,3.559160815,-9.418301113,-6.906650597,1.721691514,9.36177991,-3.568768842,4.75094888,-3.009622139,-2.220983597,-2.888216838,-11.94497842,8.045574948,7.073868994,5.289879147,2.943928877,10.27566223,3.818976019,5.244183384,-3.619727361,2.264968778,-6.226057062,16.22297739,-1.43833799,-7.961859182,-6.605184997,-4.408463328,-9.478527425,0.694125184,-10.96986224
0,10.83635879,-3.188011214,2.594545141,9.438508418,6.849156419,-2.39862171,-8.415656908,6.017411206,8.612945919,-6.005245869,-3.561438047,8.218024209,5.204655744,-3.436685022,-10.21396307,-1.261049273,-6.638222314,-1.027868271,11.42275508,-3.358008064,-2.266810424,0.045458988,6.491592717,2.805387416,-16.15578347,0.80298906,-0.68718661,1.280983513,-2.364254282,-3.553510797,5.187493944,-6.596872201
0,3.844420053,3.519224544,3.767370063,9.221722192,4.882348462,3.636016111,5.653685794,0.608875691,-8.115243593,-1.886296743,-4.143548592,3.611165861,-2.428506683,4.914437332,9.573937011,-6.880076491,0.819722531,3.226677408,9.514612385,-4.842178094,2.578932558,10.3945502,-3.659815447,3.921848649,9.431772877,10.43660107,-1.940231173,9.291772179,-1.413860504,-2.273208407,0.796401677,6.062173017
0,8.821948394,5.030776369,1.55448696,4.507285341,6.336894046,-0.633536825,-2.647290535,0.858536322,6.724633014,-4.606285355,-2.996325412,-12.21002508,5.490462823,-7.456013207,-4.759210599,12.70524802,1.059041039,-2.527863799,6.192221036,-4.620475416,-11.59106282,6.21145413,-8.110331525,-2.77044043,-15.17948834,-0.49361217,6.551604966,-6.658392886,-1.390606167,1.627152449,9.684178918,-4.776743994
0,-1.556972195,-3.460695576,-2.780358444,-0.53406364,17.08200417,0.955146135,3.049758847,-7.460956916,-3.121738004,1.246373645,6.731157662,-7.689254606,4.024930555,6.996210901,-0.842081083,5.067908879,0.272808732,-0.678868653,-5.66302189,11.51225246,11.88732133,-6.715273429,2.05536003,0.124573792,8.927278261,-2.599922784,4.663404817,3.857789582,0.793090427,-7.130937723,6.849251439,-11.55306411
0,7.980883993,2.183454726,7.775627691,-0.053951465,-7.512265726,5.275378456,0.630474065,-11.45199929,-6.520614482,-2.851681932,-2.548043584,-7.880427285,-13.51537406,2.002864612,6.921667301,2.99889333,-4.31881787,-3.623557157,-6.698378328,0.695280246,-4.96859504,-0.512325995,-1.708724624,2.626900167,-9.631607742,-0.400777972,4.614183004,-0.082525087,0.361675611,9.988754744,-3.789936135,0.308780158
0,2.9331617,-6.269303404,2.830354026,-12.49976338,2.965837259,6.190279006,12.67644338,3.810067609,4.1144022,3.782370114,-1.178640937,2.525161756,3.757320079,6.8874144,0.044040634,-8.97718974,-2.207164498,4.144625971,1.36561682,5.810257472,5.337634738,2.33451711,-6.168551653,0.878848121,16.34281482,3.368453991,4.762753776,-0.307450116,-1.889052556,6.623799349,-0.014101967,-2.562631085
0,-8.102417894,4.010802527,-1.684299725,8.067640677,-8.629059628,-2.251688549,-3.799247749,4.858737659,-4.885806408,-2.712689973,5.951839685,22.21329251,-9.285919425,-1.512096543,-6.863751441,10.01367041,-1.863642203,3.193218682,-3.259113929,6.628367369,2.79330887,-3.140362475,7.939867572,0.972110023,8.726183248,4.258351244,2.143438298,4.146986472,6.225505295,3.505274226,-3.778913783,5.905214062
0,9.453517971,-4.45376144,-9.588682176,1.291470627,-1.78522727,-5.100524807,3.814895697,7.799595571,4.95034012,-8.581086432,5.343433236,-9.436340268,-1.973078747,-10.51159102,2.308866963,1.774158263,6.414172049,-3.62313165,-3.277487527,-4.484444595,-3.508541192,-0.887948095,-0.565398342,7.160013645,-16.67421983,-1.41924729,-1.804147223,0.196788831,-2.248097754,2.585239182,1.710751212,-3.119579135
0,-11.23652007,-3.531734222,2.657267461,-4.025141002,-6.949879969,1.123404952,6.927215065,-0.234923389,-6.349508329,2.43069684,3.71808588,3.894732682,-9.076761771,8.007051426,-7.897679919,-7.508887424,7.926918029,-10.57920826,-0.605225044,-0.296735475,-2.958006101,13.94054411,-1.477332135,-1.141087698,6.36825479,2.09280144,0.306404865,-5.680387163,8.629748572,0.728782868,-5.115567011,-2.516998275
0,-4.027136503,-0.663292146,-1.767724993,-0.02772259,5.634506642,-1.444452901,-12.07183451,-2.69829515,1.91050655,-1.376835245,-6.177234274,-8.794566043,6.484241018,6.020798492,-0.036073455,9.076287004,5.181549936,0.070079122,-0.854994871,8.619224497,2.765297829,-6.695465844,-3.488244438,2.637078284,6.117660284,-4.630444336,4.527995916,7.082124693,-0.114664963,-7.086489944,3.461851855,4.708308365
